                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.66898,                0.42541,                 1.0139,                0.86092,                0.83935,                0.90975,                0.70146,                   0.89,                 0.5905,                 1.2398,             0.00098891,             0.00098891,             0.00098891
                    114,                 0.6777,                0.42617,                 1.0151,                 0.9072,                0.89488,                0.98395,                0.76808,                0.89173,                0.43177,                 1.2632,             0.00098781,             0.00098781,             0.00098781
                    115,                0.69388,                0.40224,                 1.0318,                0.98008,                0.96974,                  0.995,                0.75706,                0.92935,                0.34905,                 1.2884,             0.00098671,             0.00098671,             0.00098671
                    116,                0.70339,                 0.3992,                 1.0453,                0.97252,                0.99159,                  0.995,                0.76181,                0.96874,                0.36009,                 1.3324,             0.00098561,             0.00098561,             0.00098561
                    117,                0.66827,                0.41479,                  1.013,                0.99139,                0.99576,                  0.995,                 0.7851,                0.87597,                0.32284,                 1.2636,             0.00098451,             0.00098451,             0.00098451
                    118,                0.69015,                0.42207,                 1.0328,                0.98698,                      1,                  0.995,                0.77804,                0.90039,                0.34626,                 1.2498,             0.00098341,             0.00098341,             0.00098341
                    119,                0.68914,                0.42186,                 1.0296,                0.97656,                0.98221,                0.99408,                0.78155,                0.84919,                0.36959,                 1.2154,             0.00098231,             0.00098231,             0.00098231
                    120,                0.66367,                0.40855,                0.98807,                0.95776,                0.98768,                  0.995,                0.77541,                0.90359,                0.36539,                 1.2643,             0.00098121,             0.00098121,             0.00098121
                    121,                0.66915,                0.40949,                 1.0102,                0.94182,                0.94658,                0.98465,                0.77581,                0.90121,                 0.4174,                 1.2966,             0.00098011,             0.00098011,             0.00098011
                    122,                0.67767,                0.42741,                 1.0277,                0.86031,                0.90945,                0.89771,                0.69378,                0.88855,                 0.4866,                 1.2701,             0.00097901,             0.00097901,             0.00097901
                    123,                0.66096,                0.38938,                 1.0102,                0.97836,                0.96939,                0.99087,                0.78274,                0.89398,                0.36862,                 1.2817,             0.00097791,             0.00097791,             0.00097791
                    124,                  0.679,                0.39503,                 1.0257,                0.86197,                0.95681,                0.91635,                0.69792,                0.93572,                0.53566,                 1.3027,             0.00097681,             0.00097681,             0.00097681
                    125,                0.65228,                0.38378,                 1.0083,                0.93581,                0.99394,                0.96371,                0.76014,                0.86068,                0.35211,                  1.251,             0.00097571,             0.00097571,             0.00097571
                    126,                0.67782,                 0.3992,                 1.0203,                0.94212,                0.98589,                0.95502,                0.73442,                0.93853,                0.37785,                 1.3108,             0.00097461,             0.00097461,             0.00097461
                    127,                0.67656,                0.38569,                  1.024,                0.98499,                0.98872,                  0.995,                0.75401,                 0.9313,                0.36031,                  1.286,             0.00097351,             0.00097351,             0.00097351
                    128,                0.64115,                0.37812,                 1.0001,                0.97907,                0.99467,                  0.995,                 0.7721,                0.91117,                 0.3496,                 1.2932,             0.00097241,             0.00097241,             0.00097241
                    129,                0.61483,                0.36262,                0.97903,                0.87287,                0.94031,                0.89021,                0.69398,                0.93067,                0.50809,                 1.3568,             0.00097131,             0.00097131,             0.00097131
                    130,                0.68456,                 0.3691,                 1.0259,                0.98119,                 0.9807,                  0.995,                 0.7761,                0.89755,                0.33797,                   1.31,             0.00097021,             0.00097021,             0.00097021
                    131,                0.67418,                0.40157,                 1.0036,                0.95418,                 0.9916,                  0.965,                0.76126,                0.88801,                0.35062,                 1.2624,             0.00096911,             0.00096911,             0.00096911
                    132,                0.63148,                0.37662,                 0.9849,                0.95732,                0.99513,                  0.995,                0.77615,                0.93068,                0.34152,                 1.3291,             0.00096801,             0.00096801,             0.00096801
                    133,                0.63088,                 0.4027,                 1.0026,                0.97111,                 0.9816,                  0.995,                0.77117,                  0.935,                 0.3412,                 1.3412,             0.00096691,             0.00096691,             0.00096691
                    134,                0.67637,                0.40352,                 1.0753,                0.99094,                0.99518,                  0.995,                0.77095,                0.90789,                0.33435,                 1.2962,             0.00096581,             0.00096581,             0.00096581
                    135,                0.63041,                 0.3789,                 1.0026,                 0.7246,                0.82065,                0.80883,                0.62085,                0.93775,                0.68679,                 1.3305,             0.00096471,             0.00096471,             0.00096471
                    136,                 0.6226,                0.38769,                 1.0215,                0.97066,                0.99618,                  0.995,                0.77205,                0.92334,                0.32652,                 1.3295,             0.00096361,             0.00096361,             0.00096361
                    137,                0.61318,                0.35866,                 0.9881,                0.98531,                      1,                  0.995,                0.77601,                0.91334,                0.33506,                 1.3213,             0.00096251,             0.00096251,             0.00096251
                    138,                 0.6126,                0.36224,                0.98811,                 0.9703,                0.99887,                  0.995,                0.77059,                0.90088,                0.33249,                 1.2934,             0.00096141,             0.00096141,             0.00096141
                    139,                 0.6194,                0.37051,                 1.0049,                0.91736,                 0.9667,                0.96167,                0.73805,                 0.9329,                0.39935,                 1.3236,             0.00096032,             0.00096032,             0.00096032
                    140,                0.62876,                0.36575,                0.99413,                0.92338,                0.97286,                0.99482,                0.78559,                0.88442,                0.37882,                 1.2685,             0.00095922,             0.00095922,             0.00095922
                    141,                0.62948,                0.36324,                0.99969,                0.98852,                 0.9997,                  0.995,                0.78073,                0.91477,                0.33287,                 1.2921,             0.00095812,             0.00095812,             0.00095812
                    142,                 0.6387,                 0.3735,                 1.0082,                0.86947,                0.96449,                0.99412,                0.78311,                0.89781,                0.46336,                   1.29,             0.00095702,             0.00095702,             0.00095702
                    143,                0.64591,                0.39666,                 1.0049,                0.95971,                0.96658,                0.99467,                0.79128,                0.90281,                0.36612,                 1.2842,             0.00095592,             0.00095592,             0.00095592
                    144,                0.61591,                0.36623,                0.98598,                0.98044,                0.99845,                  0.995,                0.79082,                 0.9253,                0.34245,                 1.3099,             0.00095482,             0.00095482,             0.00095482
                    145,                0.61088,                0.34878,                 1.0221,                0.98106,                0.99589,                  0.995,                0.77132,                0.94084,                0.35878,                 1.3207,             0.00095372,             0.00095372,             0.00095372
